TIC ID,sectors
156648452,"[23, 50]"
157230659,[63]
157266693,"[10, 36, 37]"
157586003,"[26, 40, 53, 54]"
157698565,"[7, 33, 34, 61]"
158025009,"[16, 23, 50]"
158170594,"[14, 26, 40, 41, 53, 55]"
158297421,"[13, 27]"
158324245,"[14, 15, 26, 40, 41, 53, 54, 55, 74, 75]"
158388163,"[40, 41, 53, 55]"
158555987,"[14, 40, 41, 53, 54, 55]"
158561566,"[14, 15, 26, 40, 41, 53, 54, 55]"
158588995,"[9, 10, 36, 63]"
158623531,"[2, 3, 29]"
158657354,"[40, 41, 53, 54, 55]"
159054620,"[40, 41, 53, 54, 55]"
159098316,"[40, 41, 54, 55]"
159725995,"[40, 41, 54, 55]"
159742538,"[25, 26, 40, 52, 53]"
159781361,"[16, 23, 24, 50, 77, 78]"
159873822,"[16, 23, 24, 50, 51]"
159951311,"[3, 4, 30, 31]"
160148385,"[2, 29]"
160578764,"[11, 38]"
160708862,"[11, 38]"
162689341,"[23, 24, 25, 50, 51]"
162802770,"[36, 37, 63]"
162922904,"[10, 36, 37]"
163539739,"[15, 55, 56]"
164173105,"[16, 56]"
164458714,"[14, 26, 40, 41, 53, 54, 55, 74, 75]"
164652245,"[14, 40, 41, 53, 54, 55]"
164786087,"[40, 41, 53, 54, 55]"
164892194,"[40, 41, 53, 55]"
165297570,[48]
165987272,"[23, 49]"
166184428,"[38, 64]"
166527623,"[11, 64]"
166739520,"[2, 3, 29, 30]"
166833457,"[4, 31]"
166836920,"[3, 29, 30]"
168281028,[62]
168699373,"[16, 23, 49, 50]"
169226822,"[9, 35, 46, 62, 72]"
169249234,"[45, 46, 62, 72]"
169461816,"[14, 15, 54, 55]"
169765334,"[29, 42, 69, 70]"
170102285,"[6, 34]"
170634116,"[4, 5, 31, 32]"
170849515,"[5, 31, 32]"
172370679,"[14, 15, 41, 53]"
172518755,"[21, 44, 45, 46, 48, 72]"
172598832,[33]
173103335,"[45, 46]"
175236511,"[44, 45]"
175772482,[51]
176220787,"[29, 42, 70]"
176685457,"[8, 35]"
176868951,"[36, 46, 63]"
176899385,"[16, 17, 57]"
176956893,"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 27, 28, 29, 31, 32, 34, 35, 36, 37, 61, 62, 64, 65]"
178155732,"[4, 30, 31]"
178155732,"[3, 4, 30, 31]"
178155732,"[4, 30, 31]"
178162579,"[7, 33]"
178217113,"[44, 45, 46, 71]"
178284730,"[4, 5, 31]"
178289267,"[4, 5, 31]"
178367144,"[7, 34, 61]"
178819686,"[10, 37, 64]"
178819686,"[10, 37, 64]"
178879588,"[31, 32]"
179034327,"[4, 5, 31, 32]"
179317684,"[9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 68, 69]"
180695581,"[22, 23, 49]"
180991313,"[10, 36, 37]"
181804752,"[9, 36, 63]"
181804752,"[9, 36, 63]"
181949561,[51]
183120439,"[13, 27, 28]"
183532609,"[2, 29, 69]"
183537452,"[2, 29, 69]"
183985250,"[2, 29, 69]"
184240683,"[2, 29]"
184892124,"[44, 45, 46]"
186812530,"[7, 34, 44, 45, 46, 71]"
188570092,"[2, 42]"
188589164,"[24, 25]"
188768068,"[17, 20, 24, 25, 26, 40, 47, 50, 51, 53, 54, 57, 60, 74]"
188876052,[56]
189380158,[17]
189625051,[35]
190496853,"[8, 9, 35, 62]"
190998418,"[17, 57]"
191284318,"[17, 57]"
192790476,"[5, 6, 32, 33]"
192826603,"[5, 6, 32, 33]"
193641523,"[11, 12, 38, 65]"
194795551,"[13, 39]"
197643976,"[1, 28, 68]"
198008005,"[3, 4, 29, 30, 31]"
198108326,"[16, 23, 49, 50]"
198485881,"[14, 20, 21, 26, 40, 41, 47, 48]"
198588220,"[24, 26, 51, 52, 53]"
199376584,"[14, 15, 41, 55, 75]"
199671901,"[56, 57]"
200322593,"[4, 5, 6, 31, 32]"
200723869,"[3, 4, 30]"
201186294,[18]
201248411,"[1, 2, 28, 29, 68, 69]"
201604954,[13]
201642601,"[13, 27, 67]"
202426247,"[14, 15, 16, 21, 22, 23, 41, 48, 49, 50, 75]"
203189770,"[14, 15, 41, 55, 75]"
203214081,"[44, 45, 46, 72]"
203214138,"[44, 45, 46, 72]"
203289099,"[44, 45, 46, 72]"
204317710,"[2, 29]"
204376737,"[2, 29]"
204650483,"[10, 37]"
206284139,[42]
206541859,"[28, 29]"
207077681,[28]
207110080,"[2, 3, 29, 30]"
207141131,"[2, 3, 29, 30]"
207468071,"[16, 17, 23, 24, 25, 49, 50, 51, 52, 56]"
209459275,"[4, 31]"
209464063,"[4, 30, 31]"
209752908,"[41, 54]"
211438925,"[2, 29, 69]"
212957629,"[30, 42, 43]"
218795833,"[7, 34, 61]"
219015370,"[14, 15, 16, 20, 21, 22, 40, 41, 47, 48, 49]"
219016883,"[14, 15, 16, 21, 22, 23, 41, 47, 48, 49]"
219189765,"[9, 36, 63]"
219698950,"[10, 36, 63]"
219854185,"[14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 40, 47, 48, 49, 50, 52, 53, 54, 55, 56, 57, 58, 59, 60]"
219854519,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52]"
220029715,"[11, 37, 64]"
220076110,"[6, 32]"
220479565,"[3, 4, 5, 6, 10, 13, 30, 31, 32, 33, 36, 63, 64, 66, 67]"
224225541,"[2, 29]"
228381868,"[29, 69]"
229047362,[10]
229400092,"[14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60]"
229510866,"[14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 73, 74, 75]"
229742722,"[14, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 40, 41, 47, 48, 49, 50, 52, 53, 54, 55, 56, 57, 59, 60, 73, 74]"
229791084,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52]"
230001847,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 58, 60]"
230127302,"[14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]"
230127302,"[14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 49, 50, 51, 52, 53, 54, 55]"
230127302,"[14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]"
230127302,"[14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]"
230982885,"[2, 29, 69]"
231663901,"[1, 27]"
231670397,"[1, 27, 67]"
231702397,"[1, 27, 28]"
231736113,"[4, 5, 6, 31, 32, 33]"
232038798,"[6, 7, 32, 33, 34]"
232568235,"[23, 24, 25, 50, 52, 77]"
232608943,"[14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]"
232967440,"[14, 15, 21, 22, 41, 47, 48, 74]"
232982558,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]"
232982938,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 59]"
233602827,"[14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60]"
233602827,"[14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60]"
233602827,"[14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 58, 59, 60]"
233948455,"[14, 15, 17, 41, 55, 57]"
234112540,"[6, 33]"
234523599,"[1, 2, 28, 29]"
234825296,"[6, 33]"
234994474,"[1, 28]"
235678745,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 40, 41, 47, 48, 49, 50, 51, 52]"
235678745,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 40, 41, 47, 48, 49, 50, 51, 52]"
235683377,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55]"
236312126,"[24, 25, 51]"
236387002,"[24, 25, 51, 52, 78]"
236445129,"[15, 41, 55]"
236887394,"[15, 16, 17, 18, 21, 24, 25, 41, 48, 51, 55]"
237104103,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60]"
237222864,"[14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 40, 41, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 73, 74]"
237320326,[28]
237913194,"[1, 2, 28, 29]"
237922465,"[2, 3, 4, 8, 11, 28, 29, 30, 31, 38]"
238176110,"[1, 27, 28]"
239154970,"[20, 44, 45, 46, 47]"
239816546,"[19, 43, 44, 45, 59]"
240681314,"[17, 57]"
240823272,"[17, 18, 58]"
243014114,"[42, 43, 44]"
243185500,"[17, 42, 43]"
243185500,"[17, 42, 43]"
243200602,"[11, 37, 64]"
243244680,"[44, 45, 46, 72]"
243641947,"[11, 38]"
243921117,[54]
245392284,[58]
245509452,"[18, 58]"
248075138,"[10, 37]"
248111245,"[10, 11, 37]"
248853232,[55]
250111245,[42]
250707118,[58]
251848941,[2]
251848941,"[2, 29, 69]"
251848941,"[2, 29]"
251848941,"[2, 29, 69]"
252479260,"[21, 48, 75]"
254113311,"[13, 27, 67]"
